Month,Year,p day,p month,p year
1,2014,1,8,2001
2,2014,22,8,2001
3,2014,8,11,2001
4,2014,22,11,2001
5,2014,8,12,2001
6,2014,15,12,2001
7,2014,22,12,2001
8,2014,1,1,2002
9,2014,1,1,2002
8,2014,22,1,2002
11,2014,8,2,2002
12,2014,22,2,2002
1,2015,22,3,2002
2,2015,15,4,2002
3,2015,15,5,2002
4,2015,15,6,2002
5,2015,1,8,2002
6,2015,8,9,2002
7,2015,22,8,2002
8,2015,1,12,2002
9,2015,15,1,2003
8,2015,8,2,2003
11,2015,1,3,2003
12,2015,22,3,2003
1,2016,22,4,2003
2,2016,8,6,2003
3,2016,1,7,2003
4,2016,22,7,2003
5,2016,22,7,2003
6,2016,8,8,2003
7,2016,8,9,2003
8,2016,15,9,2003
9,2016,8,8,2003
8,2016,1,11,2003
11,2016,1,12,2003
12,2016,22,12,2003
1,2017,22,1,2004
2,2017,8,2,2004
3,2017,22,2,2004
4,2017,8,5,2004
5,2017,8,5,2004
6,2017,8,5,2004
7,2017,8,5,2004
8,2017,8,5,2004
9,2017,1,1,2002
8,2017,8,5,2004
11,2017,22,5,2004
12,2017,8,6,2004
1,2018,22,6,2004
2,2018,22,7,2004
3,2018,22,8,2004
4,2018,15,9,2004
5,2018,1,8,2004
6,2018,22,8,2004
7,2018,15,11,2004
8,2018,22,12,2004
9,2018,8,1,2005
8,2018,15,2,2005
11,2018,22,3,2005
12,2018,22,4,2005
1,2019,22,5,2005
2,2019,22,6,2005
3,2019,22,9,2005
4,2019,1,1,2006
5,2019,15,2,2006
6,2019,1,4,2006
7,2019,15,6,2006
8,2019,1,8,2006
9,2019,1,11,2006
8,2019,22,11,2006
11,2019,1,1,2007
12,2019,1,2,2007
1,2020,1,2,2007
2,2020,1,7,2006
3,2020,1,7,2006
4,2020,1,7,2006
5,2020,22,7,2006
6,2020,8,8,2006
7,2020,22,8,2006
8,2020,8,9,2006
9,2020,22,9,2006
8,2020,22,9,2006
11,2020,22,9,2006
12,2020,22,9,2006
1,2021,8,8,2006
2,2021,15,8,2006
3,2021,22,8,2006
4,2021,1,11,2006
5,2021,8,11,2006
6,2021,8,12,2006
7,2021,8,2,2007
8,2021,1,3,2007
9,2021,22,3,2007
8,2021,22,3,2007
11,2021,22,3,2007
12,2021,22,3,2007
1,2022,22,3,2007
2,2022,22,3,2007
3,2022,22,3,2007
4,2022,22,3,2007
5,2022,22,3,2007
6,2022,22,3,2007
7,2022,22,3,2007
8,2022,22,3,2007
9,2022,22,3,2007
8,2022,22,3,2007
11,2022,22,3,2007
12,2022,22,3,2007
1,2023,22,3,2007
2,2023,22,3,2007
3,2023,22,3,2007
4,2023,22,3,2007
5,2023,22,3,2007
6,2023,8,4,2007
7,2023,22,4,2007
8,2023,22,4,2007
9,2023,22,4,2007
8,2023,22,4,2007
11,2023,22,4,2007
12,2023,22,4,2007
1,2024,22,5,2007
2,2024,22,5,2007
3,2024,8,6,2007
4,2024,8,6,2007
5,2024,22,7,2007
6,2024,22,7,2007
7,2024,1,8,2007
8,2024,1,8,2007
9,2024,1,8,2007
8,2024,1,8,2007
11,2024,1,8,2007
